PLP_peak_index,Bass_only_marker_ids,Drum_only_marker_ids,dual_marker_ids,distinct_single_support_co_coverage,physical_pair_status,Bass_Drum_attack_delta_ms
294,,F_MIX_00531;F_MIX_00532,,False,NOT_ESTABLISHED,
295,,F_MIX_00533;F_MIX_00534,,False,NOT_ESTABLISHED,
296,,F_MIX_00535;F_MIX_00536,,False,NOT_ESTABLISHED,
297,,F_MIX_00537;F_MIX_00538,,False,NOT_ESTABLISHED,
298,,F_MIX_00539,,False,NOT_ESTABLISHED,
299,,F_MIX_00540;F_MIX_00541,,False,NOT_ESTABLISHED,
300,,F_MIX_00542;F_MIX_00543,,False,NOT_ESTABLISHED,
301,,F_MIX_00544,,False,NOT_ESTABLISHED,
302,,F_MIX_00545,,False,NOT_ESTABLISHED,
303,,F_MIX_00546,,False,NOT_ESTABLISHED,
304,,F_MIX_00548;F_MIX_00549,,False,NOT_ESTABLISHED,
305,,F_MIX_00551,,False,NOT_ESTABLISHED,
306,,F_MIX_00554,,False,NOT_ESTABLISHED,
307,,F_MIX_00556,,False,NOT_ESTABLISHED,
308,,F_MIX_00558,,False,NOT_ESTABLISHED,
309,,F_MIX_00559;F_MIX_00560,,False,NOT_ESTABLISHED,
310,,,,False,NOT_ESTABLISHED,
311,,F_MIX_00563,,False,NOT_ESTABLISHED,
312,,F_MIX_00564;F_MIX_00565,,False,NOT_ESTABLISHED,
313,,F_MIX_00567,,False,NOT_ESTABLISHED,
314,,,,False,NOT_ESTABLISHED,
315,,F_MIX_00569,,False,NOT_ESTABLISHED,
316,,F_MIX_00570,F_MIX_00571,False,NOT_ESTABLISHED,
317,,,F_MIX_00572,False,NOT_ESTABLISHED,
318,,,F_MIX_00573,False,NOT_ESTABLISHED,
319,,F_MIX_00575,,False,NOT_ESTABLISHED,
320,,,F_MIX_00576,False,NOT_ESTABLISHED,
321,,,F_MIX_00578,False,NOT_ESTABLISHED,
322,,F_MIX_00580,F_MIX_00579,False,NOT_ESTABLISHED,
323,,F_MIX_00582,,False,NOT_ESTABLISHED,
324,,,F_MIX_00583,False,NOT_ESTABLISHED,
325,,,F_MIX_00584,False,NOT_ESTABLISHED,
326,,,F_MIX_00586,False,NOT_ESTABLISHED,
327,,F_MIX_00588,F_MIX_00587,False,NOT_ESTABLISHED,
328,,F_MIX_00589,,False,NOT_ESTABLISHED,
329,,,F_MIX_00591,False,NOT_ESTABLISHED,
330,,,F_MIX_00592,False,NOT_ESTABLISHED,
331,,F_MIX_00594,,False,NOT_ESTABLISHED,
332,,,,False,NOT_ESTABLISHED,
333,,,F_MIX_00597,False,NOT_ESTABLISHED,
334,,,F_MIX_00598,False,NOT_ESTABLISHED,
335,,,F_MIX_00600,False,NOT_ESTABLISHED,
336,,,F_MIX_00602,False,NOT_ESTABLISHED,
337,,,F_MIX_00603,False,NOT_ESTABLISHED,
338,,,F_MIX_00604,False,NOT_ESTABLISHED,
339,,F_MIX_00605,F_MIX_00606,False,NOT_ESTABLISHED,
340,,,F_MIX_00608,False,NOT_ESTABLISHED,
341,,,F_MIX_00610,False,NOT_ESTABLISHED,
342,,F_MIX_00611,F_MIX_00612,False,NOT_ESTABLISHED,
343,,,F_MIX_00613,False,NOT_ESTABLISHED,
344,,,F_MIX_00615,False,NOT_ESTABLISHED,
345,,,F_MIX_00616,False,NOT_ESTABLISHED,
346,F_MIX_00618,F_MIX_00617,,True,NOT_ESTABLISHED,
347,,,F_MIX_00620,False,NOT_ESTABLISHED,
348,,F_MIX_00622,F_MIX_00621,False,NOT_ESTABLISHED,
349,,F_MIX_00624,,False,NOT_ESTABLISHED,
350,,F_MIX_00625;F_MIX_00626,,False,NOT_ESTABLISHED,
351,,F_MIX_00628,,False,NOT_ESTABLISHED,
352,,F_MIX_00630,,False,NOT_ESTABLISHED,
353,,F_MIX_00632,,False,NOT_ESTABLISHED,
354,,,,False,NOT_ESTABLISHED,
355,,F_MIX_00635,,False,NOT_ESTABLISHED,
356,,F_MIX_00637,,False,NOT_ESTABLISHED,
357,,F_MIX_00638;F_MIX_00639,,False,NOT_ESTABLISHED,
358,,F_MIX_00640,,False,NOT_ESTABLISHED,
359,,F_MIX_00641;F_MIX_00642,,False,NOT_ESTABLISHED,
360,,F_MIX_00644;F_MIX_00645,,False,NOT_ESTABLISHED,
361,,,,False,NOT_ESTABLISHED,
362,,F_MIX_00648,,False,NOT_ESTABLISHED,
363,,F_MIX_00649,,False,NOT_ESTABLISHED,
364,,F_MIX_00650;F_MIX_00651,,False,NOT_ESTABLISHED,
365,,F_MIX_00653,,False,NOT_ESTABLISHED,
366,,,,False,NOT_ESTABLISHED,
367,,F_MIX_00656,,False,NOT_ESTABLISHED,
368,,F_MIX_00658,,False,NOT_ESTABLISHED,
369,,F_MIX_00660,,False,NOT_ESTABLISHED,
370,,,,False,NOT_ESTABLISHED,
371,,F_MIX_00662,,False,NOT_ESTABLISHED,
372,,F_MIX_00663,,False,NOT_ESTABLISHED,
373,,F_MIX_00664,,False,NOT_ESTABLISHED,
374,,F_MIX_00665,,False,NOT_ESTABLISHED,
375,,F_MIX_00666;F_MIX_00667,,False,NOT_ESTABLISHED,
376,,F_MIX_00668,,False,NOT_ESTABLISHED,
377,,F_MIX_00670,,False,NOT_ESTABLISHED,
378,,F_MIX_00671;F_MIX_00672,,False,NOT_ESTABLISHED,
379,,F_MIX_00674,,False,NOT_ESTABLISHED,
380,,F_MIX_00675,,False,NOT_ESTABLISHED,
381,,F_MIX_00676,,False,NOT_ESTABLISHED,
382,,F_MIX_00677,,False,NOT_ESTABLISHED,
383,,F_MIX_00678;F_MIX_00679,,False,NOT_ESTABLISHED,
384,,F_MIX_00681,,False,NOT_ESTABLISHED,
385,,F_MIX_00683,,False,NOT_ESTABLISHED,
386,,F_MIX_00684,,False,NOT_ESTABLISHED,
387,,F_MIX_00686,,False,NOT_ESTABLISHED,
388,,F_MIX_00687,,False,NOT_ESTABLISHED,
389,,F_MIX_00689,,False,NOT_ESTABLISHED,
390,,F_MIX_00691,,False,NOT_ESTABLISHED,
391,,F_MIX_00692;F_MIX_00693,,False,NOT_ESTABLISHED,
392,,F_MIX_00694,,False,NOT_ESTABLISHED,
393,,F_MIX_00695,,False,NOT_ESTABLISHED,
394,,F_MIX_00697,,False,NOT_ESTABLISHED,
395,,F_MIX_00699,,False,NOT_ESTABLISHED,
396,,F_MIX_00700,,False,NOT_ESTABLISHED,
397,,F_MIX_00702,,False,NOT_ESTABLISHED,
398,,,,False,NOT_ESTABLISHED,
399,,F_MIX_00705,,False,NOT_ESTABLISHED,
400,,F_MIX_00706,,False,NOT_ESTABLISHED,
401,,F_MIX_00707;F_MIX_00708,,False,NOT_ESTABLISHED,
402,,F_MIX_00710,,False,NOT_ESTABLISHED,
403,,F_MIX_00711,,False,NOT_ESTABLISHED,
404,,,,False,NOT_ESTABLISHED,
405,,F_MIX_00718,,False,NOT_ESTABLISHED,
406,,,,False,NOT_ESTABLISHED,
407,,F_MIX_00725,,False,NOT_ESTABLISHED,
408,,F_MIX_00729,,False,NOT_ESTABLISHED,
409,,F_MIX_00730,,False,NOT_ESTABLISHED,
410,,,,False,NOT_ESTABLISHED,
411,,,,False,NOT_ESTABLISHED,
412,,F_MIX_00738,,False,NOT_ESTABLISHED,
413,,F_MIX_00740;F_MIX_00741,,False,NOT_ESTABLISHED,
414,,F_MIX_00743;F_MIX_00744,,False,NOT_ESTABLISHED,
415,,F_MIX_00746,,False,NOT_ESTABLISHED,
416,,F_MIX_00749,,False,NOT_ESTABLISHED,
417,,,,False,NOT_ESTABLISHED,
418,,F_MIX_00752,,False,NOT_ESTABLISHED,
419,,F_MIX_00754,,False,NOT_ESTABLISHED,
420,,F_MIX_00757,,False,NOT_ESTABLISHED,
421,,F_MIX_00758,,False,NOT_ESTABLISHED,
422,,F_MIX_00759,,False,NOT_ESTABLISHED,
423,,F_MIX_00760,,False,NOT_ESTABLISHED,
424,,F_MIX_00762,,False,NOT_ESTABLISHED,
425,,F_MIX_00763,,False,NOT_ESTABLISHED,
426,,F_MIX_00765,,False,NOT_ESTABLISHED,
427,,F_MIX_00767,,False,NOT_ESTABLISHED,
428,,F_MIX_00768;F_MIX_00769,,False,NOT_ESTABLISHED,
429,,F_MIX_00771,,False,NOT_ESTABLISHED,
430,,F_MIX_00772;F_MIX_00773,,False,NOT_ESTABLISHED,
431,,F_MIX_00775,,False,NOT_ESTABLISHED,
432,,F_MIX_00776,,False,NOT_ESTABLISHED,
433,,F_MIX_00777,,False,NOT_ESTABLISHED,
434,,F_MIX_00778;F_MIX_00779,,False,NOT_ESTABLISHED,
435,,F_MIX_00781,,False,NOT_ESTABLISHED,
436,,F_MIX_00782,,False,NOT_ESTABLISHED,
437,,F_MIX_00784,,False,NOT_ESTABLISHED,
438,,F_MIX_00786;F_MIX_00787,,False,NOT_ESTABLISHED,
439,,F_MIX_00789,,False,NOT_ESTABLISHED,
440,,,,False,NOT_ESTABLISHED,
441,,F_MIX_00794,,False,NOT_ESTABLISHED,
