quarter_id,source_search,event_id,native_timestamp,source_state,old_role,selected
106,DRUM,F_MIX_00209,38.81215419501134,DRUM_SUPPORTED,PRIMARY,True
107,DRUM,F_MIX_00210,39.172063492063494,DRUM_SUPPORTED,PRIMARY,True
108,DRUM,F_MIX_00212,39.555192743764174,DRUM_SUPPORTED,PRIMARY,True
109,DRUM,F_MIX_00214,39.92671201814059,DRUM_SUPPORTED,PRIMARY,True
110,DRUM,F_MIX_00216,40.29823129251701,DRUM_SUPPORTED,PRIMARY,True
111,DRUM,F_MIX_00218,40.66975056689343,DRUM_SUPPORTED,CONTEXT,True
112,DRUM,F_MIX_00220,41.029659863945575,DRUM_SUPPORTED,PRIMARY,True
113,BASS,F_MIX_00222,41.40117913832199,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
113,DRUM,F_MIX_00222,41.40117913832199,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
113,DRUM,F_MIX_00221,41.28507936507936,DRUM_SUPPORTED,CONTEXT,False
114,BASS,F_MIX_00224,41.749478458049886,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
114,DRUM,F_MIX_00224,41.749478458049886,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
114,DRUM,F_MIX_00223,41.64498866213152,DRUM_SUPPORTED,CONTEXT,False
115,DRUM,F_MIX_00225,42.10938775510204,DRUM_SUPPORTED,PRIMARY,True
116,DRUM,F_MIX_00226,42.38802721088435,DRUM_SUPPORTED,CONTEXT,True
117,DRUM,F_MIX_00230,42.86403628117914,DRUM_SUPPORTED,PRIMARY,True
117,DRUM,F_MIX_00229,42.75954648526077,DRUM_SUPPORTED,CONTEXT,False
117,DRUM,F_MIX_00228,42.71310657596372,DRUM_SUPPORTED,CONTEXT,False
118,BASS,F_MIX_00231,43.23555555555556,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
118,DRUM,F_MIX_00231,43.23555555555556,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
119,DRUM,F_MIX_00232,43.47936507936508,DRUM_SUPPORTED,PRIMARY,True
120,DRUM,F_MIX_00234,44.00181405895692,DRUM_SUPPORTED,CONTEXT,True
121,DRUM,F_MIX_00236,44.22240362811792,DRUM_SUPPORTED,CONTEXT,True
121,DRUM,F_MIX_00235,44.18757369614512,DRUM_SUPPORTED,CONTEXT,False
122,BASS,F_MIX_00238,44.68680272108843,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
122,DRUM,F_MIX_00238,44.68680272108843,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
122,DRUM,F_MIX_00239,44.72163265306123,DRUM_SUPPORTED,CONTEXT,False
129,DRUM,F_MIX_00248,47.42675736961451,DRUM_SUPPORTED,PRIMARY,True
131,DRUM,F_MIX_00253,48.12335600907029,DRUM_SUPPORTED,PRIMARY,True
132,DRUM,F_MIX_00254,48.54131519274377,DRUM_SUPPORTED,PRIMARY,True
133,DRUM,F_MIX_00255,48.901224489795915,DRUM_SUPPORTED,PRIMARY,True
134,DRUM,F_MIX_00257,49.284353741496595,DRUM_SUPPORTED,PRIMARY,True
134,DRUM,F_MIX_00258,49.31918367346939,DRUM_SUPPORTED,CONTEXT,False
134,DRUM,F_MIX_00256,49.191473922902496,DRUM_SUPPORTED,CONTEXT,False
135,DRUM,F_MIX_00259,49.65587301587301,DRUM_SUPPORTED,PRIMARY,True
136,DRUM,F_MIX_00260,50.01578231292517,DRUM_SUPPORTED,PRIMARY,True
137,DRUM,F_MIX_00261,50.39891156462585,DRUM_SUPPORTED,PRIMARY,True
138,DRUM,F_MIX_00262,50.758820861678004,DRUM_SUPPORTED,PRIMARY,True
139,DRUM,F_MIX_00264,51.13034013605442,DRUM_SUPPORTED,PRIMARY,True
142,DRUM,F_MIX_00270,52.244897959183675,DRUM_SUPPORTED,PRIMARY,True
142,DRUM,F_MIX_00269,52.186848072562356,DRUM_SUPPORTED,CONTEXT,False
143,DRUM,F_MIX_00272,52.61641723356009,DRUM_SUPPORTED,PRIMARY,True
143,DRUM,F_MIX_00271,52.523537414965986,DRUM_SUPPORTED,CONTEXT,False
144,DRUM,F_MIX_00274,52.97632653061225,DRUM_SUPPORTED,PRIMARY,True
145,DRUM,F_MIX_00275,53.324625850340134,DRUM_SUPPORTED,PRIMARY,True
146,DRUM,F_MIX_00277,53.69614512471655,DRUM_SUPPORTED,PRIMARY,True
146,DRUM,F_MIX_00276,53.614875283446715,DRUM_SUPPORTED,CONTEXT,False
147,DRUM,F_MIX_00279,54.05605442176871,DRUM_SUPPORTED,PRIMARY,True
148,DRUM,F_MIX_00281,54.427573696145124,DRUM_SUPPORTED,PRIMARY,True
148,DRUM,F_MIX_00280,54.34630385487528,DRUM_SUPPORTED,CONTEXT,False
149,DRUM,F_MIX_00283,54.78748299319728,DRUM_SUPPORTED,PRIMARY,True
150,DRUM,F_MIX_00284,55.147392290249435,DRUM_SUPPORTED,PRIMARY,True
151,DRUM,F_MIX_00285,55.50730158730159,DRUM_SUPPORTED,PRIMARY,True
152,DRUM,F_MIX_00287,55.878820861678,DRUM_SUPPORTED,PRIMARY,True
153,DRUM,F_MIX_00289,56.23873015873016,DRUM_SUPPORTED,PRIMARY,True
154,DRUM,F_MIX_00291,56.610249433106574,DRUM_SUPPORTED,PRIMARY,True
154,DRUM,F_MIX_00290,56.52897959183674,DRUM_SUPPORTED,CONTEXT,False
155,DRUM,F_MIX_00292,56.95854875283447,DRUM_SUPPORTED,PRIMARY,True
156,DRUM,F_MIX_00293,57.225578231292516,DRUM_SUPPORTED,CONTEXT,True
157,DRUM,F_MIX_00295,57.68997732426304,DRUM_SUPPORTED,PRIMARY,True
158,DRUM,F_MIX_00296,57.96861678004535,DRUM_SUPPORTED,PRIMARY,True
158,DRUM,F_MIX_00297,58.10793650793651,DRUM_SUPPORTED,CONTEXT,False
159,DRUM,F_MIX_00298,58.38657596371882,DRUM_SUPPORTED,PRIMARY,True
159,DRUM,F_MIX_00299,58.42140589569161,DRUM_SUPPORTED,CONTEXT,False
160,DRUM,F_MIX_00300,58.700045351473925,DRUM_SUPPORTED,PRIMARY,True
160,DRUM,F_MIX_00301,58.792925170068024,DRUM_SUPPORTED,CONTEXT,False
161,DRUM,F_MIX_00303,59.15283446712018,DRUM_SUPPORTED,PRIMARY,True
162,DRUM,F_MIX_00305,59.5243537414966,DRUM_SUPPORTED,CONTEXT,True
163,DRUM,F_MIX_00306,59.88426303854875,DRUM_SUPPORTED,PRIMARY,True
164,BASS,F_MIX_00309,60.24417233560091,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
164,DRUM,F_MIX_00309,60.24417233560091,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
165,BASS,F_MIX_00312,60.615691609977326,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
165,DRUM,F_MIX_00312,60.615691609977326,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
167,BASS,F_MIX_00316,61.35873015873016,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
167,DRUM,F_MIX_00316,61.35873015873016,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
168,BASS,F_MIX_00318,61.73024943310658,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
168,DRUM,F_MIX_00318,61.73024943310658,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
168,DRUM,F_MIX_00317,61.61414965986395,DRUM_SUPPORTED,CONTEXT,False
