event_id,stem,timestamp_s,sample_index,in_scope,identity,asset_sha256,source_identity,provenance,operational_timestamp,timestamp_origin,full_mix_event_id
BASS_00192,bass,80.88671201814059,3567104,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,80.88671201814059,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00195,bass,81.72263038548753,3603968,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,81.72263038548753,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00198,bass,82.96489795918367,3658752,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,82.96489795918367,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00207,bass,86.22730158730158,3802624,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,86.22730158730158,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00211,bass,87.31863945578232,3850752,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,87.31863945578232,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00212,bass,87.69015873015873,3867136,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,87.69015873015873,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00213,bass,88.06167800453515,3883520,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,88.06167800453515,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00214,bass,88.40997732426304,3898880,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,88.40997732426304,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00217,bass,89.83800453514739,3961856,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,89.83800453514739,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00218,bass,90.18630385487528,3977216,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,90.18630385487528,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00228,bass,93.66929705215419,4130816,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,93.66929705215419,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00229,bass,93.7621768707483,4134912,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,93.7621768707483,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00231,bass,94.86512471655328,4183552,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,94.86512471655328,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00235,bass,96.32798185941043,4248064,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,96.32798185941043,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00237,bass,97.04780045351474,4279808,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,97.04780045351474,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00238,bass,97.7792290249433,4312064,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,97.7792290249433,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00240,bass,98.51065759637189,4344320,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,98.51065759637189,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00242,bass,99.2304761904762,4376064,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,99.2304761904762,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00248,bass,101.42476190476191,4472832,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,101.42476190476191,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00250,bass,102.15619047619047,4505088,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,102.15619047619047,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00253,bass,102.85278911564626,4535808,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,102.85278911564626,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00256,bass,103.80480725623583,4577792,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,103.80480725623583,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00259,bass,105.05868480725624,4633088,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,105.05868480725624,SEPARATOR_STEM,NOT_ESTABLISHED
