quarter_id,quarter_timestamp,full_mix_dual_id,full_mix_no_distinct_alternative,Bass_candidate_N,Drums_candidate_N,category,selected_pair_resolved,selected_Drum_minus_Bass_ms
232,84.82249433106576,F_MIX_00426,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
233,85.17079365079366,F_MIX_00428,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
234,85.54231292517007,F_MIX_00430,False,1,2,F_MULTIPLE_CANDIDATES,False,11.609977324263038
235,85.89061224489797,F_MIX_00432,False,1,2,F_MULTIPLE_CANDIDATES,False,0.0
236,86.23891156462585,F_MIX_00434,False,2,2,F_MULTIPLE_CANDIDATES,True,23.219954648526077
237,86.61043083900226,F_MIX_00436,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,11.609977324263038
238,86.95873015873016,F_MIX_00438,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,11.609977324263038
241,88.02684807256236,F_MIX_00443,True,1,1,C_DISTINGUISHABLE,True,-23.219954648526077
243,88.74666666666667,F_MIX_00445,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
244,89.09496598639456,F_MIX_00447,True,0,1,B_DRUM_ONLY,False,
245,89.46648526077098,F_MIX_00448,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
247,90.16308390022675,F_MIX_00450,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,11.609977324263038
248,90.53460317460318,F_MIX_00452,False,1,2,F_MULTIPLE_CANDIDATES,False,0.0
249,90.88290249433106,F_MIX_00455,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
250,91.25442176870749,F_MIX_00457,True,1,2,F_MULTIPLE_CANDIDATES,False,-11.609977324263038
251,91.60272108843537,F_MIX_00459,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
254,92.67083900226757,F_MIX_00466,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
255,93.042358276644,F_MIX_00468,False,1,1,C_DISTINGUISHABLE,True,-104.48979591836735
259,94.4819954648526,F_MIX_00474,True,1,2,F_MULTIPLE_CANDIDATES,False,-11.609977324263038
262,95.57333333333334,F_MIX_00478,False,1,2,F_MULTIPLE_CANDIDATES,False,0.0
265,96.64145124716553,F_MIX_00483,True,1,2,F_MULTIPLE_CANDIDATES,True,-69.65986394557822
273,99.54394557823129,F_MIX_00495,False,1,2,F_MULTIPLE_CANDIDATES,False,0.0
274,99.91546485260771,F_MIX_00497,True,1,2,F_MULTIPLE_CANDIDATES,False,0.0
275,100.28698412698412,F_MIX_00500,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
276,100.65850340136055,F_MIX_00502,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
277,101.03002267573696,F_MIX_00504,True,1,1,C_DISTINGUISHABLE,True,-23.219954648526077
279,101.74984126984127,F_MIX_00507,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
283,103.18947845804989,F_MIX_00512,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
285,103.9092970521542,F_MIX_00516,True,2,1,F_MULTIPLE_CANDIDATES,True,-23.219954648526077
287,104.60589569160997,F_MIX_00522,False,0,2,B_DRUM_ONLY,False,
316,115.03165532879818,F_MIX_00571,False,1,2,F_MULTIPLE_CANDIDATES,False,-11.609977324263038
317,115.4031746031746,F_MIX_00572,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
318,115.77469387755102,F_MIX_00573,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
320,116.51773242630385,F_MIX_00576,True,1,1,C_DISTINGUISHABLE,True,-34.82993197278911
321,116.88925170068028,F_MIX_00578,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
324,118.00380952380952,F_MIX_00583,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
325,118.37532879818595,F_MIX_00584,True,1,1,C_DISTINGUISHABLE,True,58.049886621315196
326,118.72362811791383,F_MIX_00586,True,0,2,B_DRUM_ONLY,False,
329,119.81496598639455,F_MIX_00591,True,3,1,F_MULTIPLE_CANDIDATES,True,-23.219954648526077
330,120.16326530612245,F_MIX_00592,True,0,1,B_DRUM_ONLY,False,
333,121.25460317460318,F_MIX_00597,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
334,121.60290249433106,F_MIX_00598,True,1,1,C_DISTINGUISHABLE,True,-104.48979591836735
335,121.97442176870749,F_MIX_00600,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
336,122.32272108843537,F_MIX_00602,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
337,122.6942403628118,F_MIX_00603,True,0,1,B_DRUM_ONLY,False,
338,123.06575963718821,F_MIX_00604,True,1,1,C_DISTINGUISHABLE,True,-23.219954648526077
339,123.4140589569161,F_MIX_00606,False,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
340,123.78557823129252,F_MIX_00608,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
