stem,full_mix_id,stem_id,full_mix_state,full_mix_sample,stem_sample,FM_MINUS_STEM_ms
bass,F_MIX_01325,BASS_00667,UNKNOWN,11764736,11764736,0.0
bass,F_MIX_01327,BASS_00669,DRUM_SUPPORTED,11781120,11781120,0.0
bass,F_MIX_01331,BASS_00670,DRUM_SUPPORTED,11813376,11812864,11.609977324263038
bass,F_MIX_01332,BASS_00672,UNKNOWN,11834368,11834368,0.0
bass,F_MIX_01336,BASS_00673,DRUM_SUPPORTED,11867648,11867648,0.0
bass,F_MIX_01338,BASS_00674,UNKNOWN,11894784,11894784,0.0
bass,F_MIX_01345,BASS_00675,BASS_SUPPORTED,11930112,11930112,0.0
bass,F_MIX_01346,BASS_00676,DRUM_SUPPORTED,11935744,11935744,0.0
bass,F_MIX_01347,BASS_00677,BASS_AND_DRUM_SUPPORTED,11944960,11944960,0.0
bass,F_MIX_01354,BASS_00678,UNKNOWN,12003840,12003840,0.0
bass,F_MIX_01357,BASS_00679,BASS_AND_DRUM_SUPPORTED,12034560,12034048,11.609977324263038
bass,F_MIX_01358,BASS_00680,BASS_AND_DRUM_SUPPORTED,12050944,12050944,0.0
bass,F_MIX_01361,BASS_00682,BASS_AND_DRUM_SUPPORTED,12078592,12078592,0.0
bass,F_MIX_01362,BASS_00683,BASS_AND_DRUM_SUPPORTED,12083712,12083200,11.609977324263038
bass,F_MIX_01364,BASS_00684,BASS_AND_DRUM_SUPPORTED,12099072,12099072,0.0
bass,F_MIX_01367,BASS_00685,BASS_AND_DRUM_SUPPORTED,12132864,12132864,0.0
bass,F_MIX_01371,BASS_00686,BASS_AND_DRUM_SUPPORTED,12167168,12167168,0.0
bass,F_MIX_01374,BASS_00687,BASS_AND_DRUM_SUPPORTED,12199424,12199424,0.0
bass,F_MIX_01378,BASS_00688,BASS_AND_DRUM_SUPPORTED,12231680,12231680,0.0
bass,F_MIX_01380,BASS_00689,UNKNOWN,12259840,12259328,11.609977324263038
bass,F_MIX_01381,BASS_00690,DRUM_SUPPORTED,12264448,12264960,-11.609977324263038
bass,F_MIX_01384,BASS_00691,BASS_AND_DRUM_SUPPORTED,12297216,12297216,0.0
bass,F_MIX_01390,BASS_00693,DRUM_SUPPORTED,12346880,12346880,0.0
bass,F_MIX_01391,BASS_00694,UNKNOWN,12359168,12359168,0.0
bass,F_MIX_01393,BASS_00696,DRUM_SUPPORTED,12379136,12379648,-11.609977324263038
bass,F_MIX_01416,BASS_00702,DRUM_SUPPORTED,12573184,12573184,0.0
bass,F_MIX_01418,BASS_00704,UNKNOWN,12601856,12601344,11.609977324263038
bass,F_MIX_01419,BASS_00705,DRUM_SUPPORTED,12605952,12605952,0.0
bass,F_MIX_01420,BASS_00706,DRUM_SUPPORTED,12621824,12621312,11.609977324263038
